Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
1598,1,56000,15,63,64.76,20.96,27.65
1609,1,57000,12,66,67.08,20.96,27.65
1619,1,58000,8,65,65.49,20.96,27.65
1629,1,59000,14,67,68.45,20.96,27.65
1639,1,60000,13,66,67.27,20.96,27.65
1650,1,61000,10,69,69.72,20.96,27.65
1660,1,62000,11,70,70.86,20.96,27.65
1670,1,63000,13,68,69.23,20.96,27.65
1680,1,64000,13,69,70.21,20.96,27.65
1690,1,65000,12,72,72.99,20.96,27.65
1700,1,66000,12,73,73.98,20.96,27.65
1711,1,67000,13,71,72.18,20.96,27.65
1722,1,68000,13,71,72.18,20.96,27.65
1733,1,69000,13,75,76.12,20.96,27.65
1744,1,70000,13,75,76.12,20.96,27.65
1755,1,71000,13,76,77.1,20.96,27.65
1765,1,72000,13,76,77.1,20.96,27.65
1777,1,73000,10,77,77.65,20.96,27.65
1788,1,74000,10,74,74.67,20.96,27.65
1798,1,75000,10,78,78.64,20.96,27.65
1808,1,76000,9,81,81.5,20.96,27.65
1820,1,77000,9,80,80.5,20.96,27.65
1830,1,78000,10,83,83.6,20.96,27.65
1841,1,79000,8,81,81.39,20.96,27.65
1851,1,80000,9,82,82.49,20.96,27.65
1863,1,81000,8,81,81.39,20.96,27.65
1873,1,82000,7,83,83.29,20.96,27.65
1884,1,83000,7,81,81.3,20.96,27.65
1894,1,84000,7,82,82.3,20.96,27.65
1905,1,85000,6,84,84.21,20.96,27.65
1916,1,86000,4,90,90.09,20.96,27.65
1926,1,87000,7,87,87.28,20.96,27.65
1937,1,88000,5,89,89.14,20.96,27.65
1948,1,89000,6,90,90.2,20.96,27.65
1958,1,90000,5,91,91.14,20.96,27.65
1968,1,91000,1,87,87.01,20.96,27.65
1979,1,92000,3,92,92.05,20.96,27.65
1990,1,93000,-1,92,92.01,20.96,27.65
2001,1,94000,1,95,95.01,20.96,27.65
2011,1,95000,3,94,94.05,20.96,27.65
2022,1,96000,0,90,90,20.96,27.65
2033,1,97000,-1,102,102,20.96,27.65
2044,1,98000,-6,95,95.19,20.96,27.65
2055,1,99000,-2,97,97.02,20.96,27.65
2066,1,100000,-2,95,95.02,20.96,27.65
2077,1,101000,-5,97,97.13,20.96,27.65
2440,2,1000,-16862,1074,16896.17,20.96,27.65
2572,2,2000,280,-37,282.43,20.96,27.65
2662,2,3000,137,-26,139.45,20.96,27.65
2732,2,4000,54,-14,55.79,20.96,27.65
2788,2,5000,26,-8,27.2,20.96,27.65
2836,2,6000,29,-10,30.68,20.96,27.65
2878,2,7000,32,-13,34.54,20.96,27.65
2915,2,8000,21,-4,21.38,20.96,27.65
2949,2,9000,14,-3,14.32,20.96,27.65
2980,2,10000,18,-6,18.97,20.96,27.65
3009,2,11000,21,-9,22.85,20.96,27.65
3036,2,12000,13,0,13,20.96,27.65
3062,2,13000,12,1,12.04,20.96,27.65
3085,2,14000,17,-2,17.12,20.96,27.65
3109,2,15000,19,-5,19.65,20.96,27.65
3130,2,16000,14,0,14,20.96,27.65
3151,2,17000,19,1,19.03,20.96,27.65
3170,2,18000,18,-1,18.03,20.96,27.65
3190,2,19000,21,-4,21.38,20.96,27.65
3208,2,20000,17,5,17.72,20.96,27.65
3227,2,21000,21,6,21.84,20.96,27.65
3244,2,22000,22,3,22.2,20.96,27.65
3260,2,23000,24,2,24.08,20.96,27.65
3277,2,24000,26,7,26.93,20.96,27.65
3292,2,25000,23,5,23.54,20.96,27.65
3308,2,26000,26,6,26.68,20.96,27.65
3323,2,27000,27,4,27.29,20.96,27.65
3338,2,28000,28,11,30.08,20.96,27.65
3352,2,29000,27,10,28.79,20.96,27.65
3368,2,30000,29,9,30.36,20.96,27.65
3381,2,31000,28,10,29.73,20.96,27.65
3395,2,32000,30,13,32.7,20.96,27.65
3409,2,33000,32,13,34.54,20.96,27.65
3422,2,34000,31,12,33.24,20.96,27.65
3435,2,35000,32,12,34.18,20.96,27.65
3448,2,36000,35,20,40.31,20.96,27.65
3461,2,37000,34,19,38.95,20.96,27.65
3473,2,38000,34,20,39.45,20.96,27.65
3486,2,39000,36,19,40.71,20.96,27.65
3498,2,40000,38,20,42.94,20.96,27.65
3510,2,41000,35,20,40.31,20.96,27.65
3522,2,42000,35,19,39.82,20.96,27.65
3534,2,43000,34,20,39.45,20.96,27.65
3546,2,44000,42,23,47.89,20.96,27.65
3557,2,45000,37,22,43.05,20.96,27.65
3569,2,46000,41,25,48.02,20.96,27.65
3580,2,47000,40,26,47.71,20.96,27.65
3591,2,48000,43,27,50.77,20.96,27.65
3602,2,49000,38,27,46.62,20.96,27.65
3614,2,50000,41,26,48.55,20.96,27.65
3625,2,51000,40,30,50,20.96,27.65
3635,2,52000,41,32,52.01,20.96,27.65
3646,2,53000,41,28,49.65,20.96,27.65
3657,2,54000,41,35,53.91,20.96,27.65
3668,2,55000,42,34,54.04,20.96,27.65
3678,2,56000,46,36,58.41,20.96,27.65
3688,2,57000,41,36,54.56,20.96,27.65
3699,2,58000,39,40,55.87,20.96,27.65
3709,2,59000,46,39,60.31,20.96,27.65
3719,2,60000,45,41,60.88,20.96,27.65
3729,2,61000,43,40,58.73,20.96,27.65
3740,2,62000,44,42,60.83,20.96,27.65
3750,2,63000,44,41,60.14,20.96,27.65
3760,2,64000,46,44,63.66,20.96,27.65
3769,2,65000,42,46,62.29,20.96,27.65
3781,2,66000,44,46,63.66,20.96,27.65
3791,2,67000,44,46,63.66,20.96,27.65
3802,2,68000,45,48,65.8,20.96,27.65
3813,2,69000,44,52,68.12,20.96,27.65
3824,2,70000,45,52,68.77,20.96,27.65
3835,2,71000,45,55,71.06,20.96,27.65
3846,2,72000,42,55,69.2,20.96,27.65
3856,2,73000,45,56,71.84,20.96,27.65
3868,2,74000,42,56,70,20.96,27.65
3879,2,75000,45,57,72.62,20.96,27.65
3889,2,76000,45,59,74.2,20.96,27.65
3899,2,77000,44,59,73.6,20.96,27.65
3911,2,78000,44,60,74.4,20.96,27.65
3922,2,79000,43,61,74.63,20.96,27.65
3932,2,80000,43,65,77.94,20.96,27.65
3943,2,81000,43,66,78.77,20.96,27.65
3955,2,82000,43,67,79.61,20.96,27.65
3965,2,83000,42,69,80.78,20.96,27.65
3976,2,84000,42,66,78.23,20.96,27.65
3987,2,85000,40,68,78.89,20.96,27.65
3998,2,86000,43,72,83.86,20.96,27.65
4009,2,87000,41,74,84.6,20.96,27.65
4020,2,88000,40,74,84.12,20.96,27.65
4030,2,89000,39,76,85.42,20.96,27.65
4042,2,90000,38,78,86.76,20.96,27.65
4052,2,91000,37,75,83.63,20.96,27.65
4063,2,92000,38,77,85.87,20.96,27.65
4073,2,93000,38,77,85.87,20.96,27.65
4085,2,94000,35,82,89.16,20.96,27.65
4096,2,95000,31,83,88.6,20.96,27.65
4106,2,96000,33,85,91.18,20.96,27.65
4117,2,97000,40,90,98.49,20.96,27.65
4129,2,98000,34,87,93.41,20.96,27.65
4139,2,99000,34,87,93.41,20.96,27.65
4150,2,100000,34,88,94.34,20.96,27.65
4161,2,101000,34,89,95.27,20.96,27.65
4524,3,1000,-16862,1074,16896.17,20.96,27.65
4657,3,2000,280,-36,282.3,20.96,27.65
4747,3,3000,137,-26,139.45,20.96,27.65
4816,3,4000,54,-13,55.54,20.96,27.65
4872,3,5000,29,-8,30.08,20.96,27.65
4920,3,6000,30,-11,31.95,20.96,27.65
4962,3,7000,32,-15,35.34,20.96,27.65
5000,3,8000,20,-6,20.88,20.96,27.65
5034,3,9000,13,-4,13.6,20.96,27.65
5065,3,10000,18,-6,18.97,20.96,27.65
5093,3,11000,23,-10,25.08,20.96,27.65
5121,3,12000,12,-2,12.17,20.96,27.65
5147,3,13000,12,0,12,20.96,27.65
5170,3,14000,17,-3,17.26,20.96,27.65
5193,3,15000,18,-4,18.44,20.96,27.65
5214,3,16000,15,-2,15.13,20.96,27.65
5235,3,17000,18,0,18,20.96,27.65
5255,3,18000,22,-2,22.09,20.96,27.65
5274,3,19000,20,-3,20.22,20.96,27.65
5292,3,20000,18,5,18.68,20.96,27.65
5310,3,21000,21,4,21.38,20.96,27.65
5327,3,22000,24,2,24.08,20.96,27.65
5344,3,23000,24,3,24.19,20.96,27.65
5361,3,24000,25,7,25.96,20.96,27.65
5376,3,25000,25,5,25.5,20.96,27.65
5392,3,26000,25,7,25.96,20.96,27.65
5407,3,27000,27,2,27.07,20.96,27.65
5422,3,28000,27,11,29.15,20.96,27.65
5436,3,29000,28,10,29.73,20.96,27.65
5451,3,30000,29,10,30.68,20.96,27.65
5465,3,31000,30,11,31.95,20.96,27.65
5479,3,32000,30,15,33.54,20.96,27.65
5493,3,33000,33,11,34.79,20.96,27.65
5506,3,34000,30,7,30.81,20.96,27.65
5519,3,35000,32,11,33.84,20.96,27.65
5532,3,36000,37,15,39.92,20.96,27.65
5545,3,37000,37,17,40.72,20.96,27.65
5557,3,38000,37,18,41.15,20.96,27.65
5569,3,39000,37,16,40.31,20.96,27.65
5582,3,40000,37,18,41.15,20.96,27.65
5594,3,41000,38,18,42.05,20.96,27.65
5606,3,42000,37,18,41.15,20.96,27.65
5618,3,43000,37,22,43.05,20.96,27.65
5630,3,44000,40,22,45.65,20.96,27.65
5641,3,45000,40,22,45.65,20.96,27.65
5652,3,46000,41,24,47.51,20.96,27.65
5664,3,47000,39,25,46.32,20.96,27.65
5675,3,48000,44,24,50.12,20.96,27.65
5686,3,49000,40,26,47.71,20.96,27.65
5697,3,50000,41,29,50.22,20.96,27.65
5709,3,51000,43,30,52.43,20.96,27.65
5719,3,52000,43,31,53.01,20.96,27.65
5730,3,53000,42,35,54.67,20.96,27.65
5740,3,54000,44,29,52.7,20.96,27.65
5752,3,55000,43,33,54.2,20.96,27.65
5762,3,56000,47,34,58.01,20.96,27.65
5772,3,57000,44,36,56.85,20.96,27.65
5782,3,58000,45,39,59.55,20.96,27.65
5793,3,59000,48,36,60,20.96,27.65
5803,3,60000,44,38,58.14,20.96,27.65
5813,3,61000,45,39,59.55,20.96,27.65
5823,3,62000,44,42,60.83,20.96,27.65
5834,3,63000,48,41,63.13,20.96,27.65
5844,3,64000,50,43,65.95,20.96,27.65
5853,3,65000,46,44,63.66,20.96,27.65
5863,3,66000,47,45,65.07,20.96,27.65
5875,3,67000,45,47,65.07,20.96,27.65
5886,3,68000,47,48,67.18,20.96,27.65
5896,3,69000,47,52,70.09,20.96,27.65
5907,3,70000,47,51,69.35,20.96,27.65
5919,3,71000,48,52,70.77,20.96,27.65
5929,3,72000,46,53,70.18,20.96,27.65
5940,3,73000,47,53,70.84,20.96,27.65
5951,3,74000,45,54,70.29,20.96,27.65
5962,3,75000,48,57,74.52,20.96,27.65
5973,3,76000,46,57,73.25,20.96,27.65
5983,3,77000,47,61,77.01,20.96,27.65
5994,3,78000,48,62,78.41,20.96,27.65
6006,3,79000,48,61,77.62,20.96,27.65
6016,3,80000,46,64,78.82,20.96,27.65
6027,3,81000,47,67,81.84,20.96,27.65
6038,3,82000,45,66,79.88,20.96,27.65
6049,3,83000,48,67,82.42,20.96,27.65
6060,3,84000,45,68,81.54,20.96,27.65
6071,3,85000,45,69,82.38,20.96,27.65
6081,3,86000,43,71,83.01,20.96,27.65
6093,3,87000,44,73,85.23,20.96,27.65
6104,3,88000,44,75,86.95,20.96,27.65
6114,3,89000,45,77,89.19,20.96,27.65
6125,3,90000,42,79,89.47,20.96,27.65
6137,3,91000,41,77,87.24,20.96,27.65
6147,3,92000,42,79,89.47,20.96,27.65
6157,3,93000,45,78,90.05,20.96,27.65
6168,3,94000,38,81,89.47,20.96,27.65
6180,3,95000,39,83,91.71,20.96,27.65
6190,3,96000,45,83,94.41,20.96,27.65
6201,3,97000,44,86,96.6,20.96,27.65
6213,3,98000,42,86,95.71,20.96,27.65
6223,3,99000,35,88,94.7,20.96,27.65
6234,3,100000,36,91,97.86,20.96,27.65
6245,3,101000,34,92,98.08,20.96,27.65
6608,4,1000,-16862,1282,16910.66,20.96,27.65
6741,4,2000,274,175,325.12,20.96,27.65
6831,4,3000,129,183,223.9,20.96,27.65
6900,4,4000,44,195,199.9,20.96,27.65
6956,4,5000,17,200,200.72,20.96,27.65
7004,4,6000,15,198,198.57,20.96,27.65
7046,4,7000,15,194,194.58,20.96,27.65
7084,4,8000,-3,203,203.02,20.96,27.65
7118,4,9000,-9,201,201.2,20.96,27.65
7148,4,10000,-8,201,201.16,20.96,27.65
7178,4,11000,-5,198,198.06,20.96,27.65
7205,4,12000,-18,204,204.79,20.96,27.65
7230,4,13000,-21,206,207.07,20.96,27.65
7254,4,14000,-18,202,202.8,20.96,27.65
7277,4,15000,-20,200,201,20.96,27.65
7299,4,16000,-23,204,205.29,20.96,27.65
7319,4,17000,-26,205,206.64,20.96,27.65
7340,4,18000,-29,202,204.07,20.96,27.65
7358,4,19000,-26,200,201.68,20.96,27.65
7378,4,20000,-30,206,208.17,20.96,27.65
7395,4,21000,-32,205,207.48,20.96,27.65
7413,4,22000,-32,202,204.52,20.96,27.65
7430,4,23000,-34,202,204.84,20.96,27.65
7446,4,24000,-38,202,205.54,20.96,27.65
7462,4,25000,-37,203,206.34,20.96,27.65
7478,4,26000,-40,202,205.92,20.96,27.65
7494,4,27000,-42,203,207.3,20.96,27.65
7509,4,28000,-43,207,211.42,20.96,27.65
7523,4,29000,-44,202,206.74,20.96,27.65
7538,4,30000,-45,203,207.93,20.96,27.65
7552,4,31000,-49,201,206.89,20.96,27.65
7566,4,32000,-46,205,210.1,20.96,27.65
7580,4,33000,-53,202,208.84,20.96,27.65
7593,4,34000,-53,203,209.8,20.96,27.65
7606,4,35000,-54,200,207.16,20.96,27.65
7619,4,36000,-51,205,211.25,20.96,27.65
7632,4,37000,-53,201,207.87,20.96,27.65
7644,4,38000,-59,203,211.4,20.96,27.65
7657,4,39000,-61,200,209.1,20.96,27.65
7670,4,40000,-60,203,211.68,20.96,27.65
7682,4,41000,-62,199,208.43,20.96,27.65
7694,4,42000,-65,198,208.4,20.96,27.65
7706,4,43000,-63,200,209.69,20.96,27.65
7718,4,44000,-64,203,212.85,20.96,27.65
7730,4,45000,-69,197,208.73,20.96,27.65
7741,4,46000,-69,200,211.57,20.96,27.65
7753,4,47000,-73,198,211.03,20.96,27.65
7764,4,48000,-69,197,208.73,20.96,27.65
7775,4,49000,-75,199,212.66,20.96,27.65
7786,4,50000,-78,199,213.74,20.96,27.65
7798,4,51000,-79,195,210.39,20.96,27.65
7808,4,52000,-79,196,211.32,20.96,27.65
7819,4,53000,-81,193,209.31,20.96,27.65
7829,4,54000,-84,196,213.24,20.96,27.65
7841,4,55000,-81,194,210.23,20.96,27.65
7851,4,56000,-85,191,209.06,20.96,27.65
7862,4,57000,-88,194,213.03,20.96,27.65
7873,4,58000,-89,195,214.35,20.96,27.65
7886,4,59000,-88,192,211.21,20.96,27.65
7897,4,60000,-89,190,209.81,20.96,27.65
7908,4,61000,-92,196,216.52,20.96,27.65
7921,4,62000,-97,192,215.11,20.96,27.65
7932,4,63000,-93,189,210.64,20.96,27.65
7944,4,64000,-95,189,211.53,20.96,27.65
7955,4,65000,-99,190,214.25,20.96,27.65
7967,4,66000,-100,188,212.94,20.96,27.65
7979,4,67000,-102,186,212.13,20.96,27.65
7990,4,68000,-104,187,213.97,20.96,27.65
8002,4,69000,-106,188,215.82,20.96,27.65
8015,4,70000,-106,188,215.82,20.96,27.65
8026,4,71000,-108,189,217.68,20.96,27.65
8038,4,72000,-109,184,213.86,20.96,27.65
8051,4,73000,-111,184,214.89,20.96,27.65
8062,4,74000,-110,183,213.52,20.96,27.65
8074,4,75000,-115,181,214.44,20.96,27.65
8085,4,76000,-116,179,213.3,20.96,27.65
8098,4,77000,-117,182,216.36,20.96,27.65
8110,4,78000,-120,181,217.17,20.96,27.65
8121,4,79000,-121,178,215.23,20.96,27.65
8134,4,80000,-121,180,216.89,20.96,27.65
8146,4,81000,-122,180,217.45,20.96,27.65
8157,4,82000,-124,178,216.93,20.96,27.65
8169,4,83000,-127,175,216.23,20.96,27.65
8182,4,84000,-128,176,217.62,20.96,27.65
8193,4,85000,-128,177,218.43,20.96,27.65
8205,4,86000,-130,176,218.81,20.96,27.65
8218,4,87000,-130,175,218,20.96,27.65
8229,4,88000,-133,173,218.22,20.96,27.65
8241,4,89000,-133,174,219.01,20.96,27.65
8253,4,90000,-138,173,221.3,20.96,27.65
8265,4,91000,-141,169,220.1,20.96,27.65
8277,4,92000,-138,170,218.96,20.96,27.65
8288,4,93000,-141,170,220.86,20.96,27.65
8300,4,94000,-142,168,219.97,20.96,27.65
8313,4,95000,-145,173,225.73,20.96,27.65
8324,4,96000,-144,167,220.51,20.96,27.65
8336,4,97000,-145,163,218.16,20.96,27.65
8349,4,98000,-147,165,220.98,20.96,27.65
8360,4,99000,-153,164,224.29,20.96,27.65
8372,4,100000,-150,163,221.52,20.96,27.65
8384,4,101000,-151,163,222.19,20.96,27.65
8748,5,1000,-16862,1074,16896.17,20.96,27.65
8881,5,2000,280,-37,282.43,20.96,27.65
8971,5,3000,137,-26,139.45,20.96,27.65
9040,5,4000,54,-14,55.79,20.96,27.65
9096,5,5000,28,-8,29.12,20.96,27.65
9144,5,6000,29,-10,30.68,20.96,27.65
9186,5,7000,36,-12,37.95,20.96,27.65
9224,5,8000,16,-10,18.87,20.96,27.65
9258,5,9000,14,-4,14.56,20.96,27.65
9289,5,10000,19,-6,19.92,20.96,27.65
9317,5,11000,22,-10,24.17,20.96,27.65
9345,5,12000,13,-1,13.04,20.96,27.65
9371,5,13000,12,0,12,20.96,27.65
9394,5,14000,18,-4,18.44,20.96,27.65
9417,5,15000,19,-5,19.65,20.96,27.65
9438,5,16000,19,-1,19.03,20.96,27.65
9459,5,17000,17,2,17.12,20.96,27.65
9479,5,18000,20,-4,20.4,20.96,27.65
9498,5,19000,20,-4,20.4,20.96,27.65
9516,5,20000,18,6,18.97,20.96,27.65
9534,5,21000,21,3,21.21,20.96,27.65
9552,5,22000,21,3,21.21,20.96,27.65
9568,5,23000,22,1,22.02,20.96,27.65
9585,5,24000,23,4,23.35,20.96,27.65
9601,5,25000,24,6,24.74,20.96,27.65
9616,5,26000,25,4,25.32,20.96,27.65
9631,5,27000,26,1,26.02,20.96,27.65
9646,5,28000,28,11,30.08,20.96,27.65
9660,5,29000,28,8,29.12,20.96,27.65
9676,5,30000,27,9,28.46,20.96,27.65
9689,5,31000,27,11,29.15,20.96,27.65
9703,5,32000,31,13,33.62,20.96,27.65
9717,5,33000,30,10,31.62,20.96,27.65
9730,5,34000,31,10,32.57,20.96,27.65
9743,5,35000,33,11,34.79,20.96,27.65
9756,5,36000,35,15,38.08,20.96,27.65
9769,5,37000,35,16,38.48,20.96,27.65
9781,5,38000,36,14,38.63,20.96,27.65
9793,5,39000,35,16,38.48,20.96,27.65
9806,5,40000,36,18,40.25,20.96,27.65
9818,5,41000,36,16,39.4,20.96,27.65
9830,5,42000,35,17,38.91,20.96,27.65
9842,5,43000,39,21,44.29,20.96,27.65
9854,5,44000,43,21,47.85,20.96,27.65
9865,5,45000,39,21,44.29,20.96,27.65
9876,5,46000,42,23,47.89,20.96,27.65
9888,5,47000,39,22,44.78,20.96,27.65
9899,5,48000,43,23,48.76,20.96,27.65
9910,5,49000,43,26,50.25,20.96,27.65
9921,5,50000,40,25,47.17,20.96,27.65
9933,5,51000,41,26,48.55,20.96,27.65
9943,5,52000,41,28,49.65,20.96,27.65
9954,5,53000,38,26,46.04,20.96,27.65
9964,5,54000,43,31,53.01,20.96,27.65
9976,5,55000,44,30,53.25,20.96,27.65
9986,5,56000,47,34,58.01,20.96,27.65
9996,5,57000,43,35,55.44,20.96,27.65
10006,5,58000,40,34,52.5,20.96,27.65
10017,5,59000,46,36,58.41,20.96,27.65
10027,5,60000,45,35,57.01,20.96,27.65
10037,5,61000,48,39,61.85,20.96,27.65
10047,5,62000,46,41,61.62,20.96,27.65
10058,5,63000,48,40,62.48,20.96,27.65
10068,5,64000,48,39,61.85,20.96,27.65
10079,5,65000,49,42,64.54,20.96,27.65
10090,5,66000,47,45,65.07,20.96,27.65
10101,5,67000,47,44,64.38,20.96,27.65
10112,5,68000,48,45,65.8,20.96,27.65
10123,5,69000,47,48,67.18,20.96,27.65
10134,5,70000,46,48,66.48,20.96,27.65
10146,5,71000,48,52,70.77,20.96,27.65
10157,5,72000,46,51,68.68,20.96,27.65
10168,5,73000,47,52,70.09,20.96,27.65
10179,5,74000,46,53,70.18,20.96,27.65
10191,5,75000,48,54,72.25,20.96,27.65
10201,5,76000,46,57,73.25,20.96,27.65
10212,5,77000,47,59,75.43,20.96,27.65
10224,5,78000,47,61,77.01,20.96,27.65
10235,5,79000,46,61,76.4,20.96,27.65
10246,5,80000,46,62,77.2,20.96,27.65
10257,5,81000,48,63,79.2,20.96,27.65
10269,5,82000,46,63,78.01,20.96,27.65
10280,5,83000,46,65,79.63,20.96,27.65
10290,5,84000,45,66,79.88,20.96,27.65
10301,5,85000,46,66,80.45,20.96,27.65
10313,5,86000,46,70,83.76,20.96,27.65
10324,5,87000,47,72,85.98,20.96,27.65
10335,5,88000,44,73,85.23,20.96,27.65
10346,5,89000,45,73,85.76,20.96,27.65
10358,5,90000,44,74,86.09,20.96,27.65
10368,5,91000,41,72,82.86,20.96,27.65
10379,5,92000,45,78,90.05,20.96,27.65
10390,5,93000,42,78,88.59,20.96,27.65
10402,5,94000,40,81,90.34,20.96,27.65
10413,5,95000,38,82,90.38,20.96,27.65
10424,5,96000,42,88,97.51,20.96,27.65
10435,5,97000,45,78,90.05,20.96,27.65
10447,5,98000,39,85,93.52,20.96,27.65
10458,5,99000,38,86,94.02,20.96,27.65
10469,5,100000,40,88,96.66,20.96,27.65
10481,5,101000,34,89,95.27,20.96,27.65
10843,6,1000,-16862,1074,16896.17,20.96,27.65
10976,6,2000,280,-37,282.43,20.96,27.65
11066,6,3000,137,-25,139.26,20.96,27.65
11135,6,4000,54,-14,55.79,20.96,27.65
11191,6,5000,22,-8,23.41,20.96,27.65
11239,6,6000,30,-10,31.62,20.96,27.65
11281,6,7000,31,-13,33.62,20.96,27.65
11319,6,8000,16,-9,18.36,20.96,27.65
11353,6,9000,13,-3,13.34,20.96,27.65
11384,6,10000,17,-6,18.03,20.96,27.65
11412,6,11000,20,-10,22.36,20.96,27.65
11440,6,12000,12,-2,12.17,20.96,27.65
11466,6,13000,10,0,10,20.96,27.65
11489,6,14000,15,-5,15.81,20.96,27.65
11513,6,15000,16,-5,16.76,20.96,27.65
11534,6,16000,18,1,18.03,20.96,27.65
11555,6,17000,14,0,14,20.96,27.65
11574,6,18000,16,-2,16.12,20.96,27.65
11594,6,19000,20,-5,20.62,20.96,27.65
11612,6,20000,14,4,14.56,20.96,27.65
11629,6,21000,18,3,18.25,20.96,27.65
11647,6,22000,20,1,20.02,20.96,27.65
11663,6,23000,21,1,21.02,20.96,27.65
11680,6,24000,22,4,22.36,20.96,27.65
11696,6,25000,23,4,23.35,20.96,27.65
11711,6,26000,23,5,23.54,20.96,27.65
11727,6,27000,26,3,26.17,20.96,27.65
11742,6,28000,24,10,26,20.96,27.65
11756,6,29000,25,7,25.96,20.96,27.65
11771,6,30000,26,6,26.68,20.96,27.65
11785,6,31000,24,8,25.3,20.96,27.65
11799,6,32000,26,9,27.51,20.96,27.65
11813,6,33000,29,11,31.02,20.96,27.65
11826,6,34000,32,9,33.24,20.96,27.65
11839,6,35000,30,12,32.31,20.96,27.65
11852,6,36000,30,15,33.54,20.96,27.65
11865,6,37000,27,13,29.97,20.96,27.65
11877,6,38000,33,12,35.11,20.96,27.65
11890,6,39000,33,14,35.85,20.96,27.65
11902,6,40000,36,15,39,20.96,27.65
11914,6,41000,33,15,36.25,20.96,27.65
11926,6,42000,32,14,34.93,20.96,27.65
11938,6,43000,31,16,34.89,20.96,27.65
11950,6,44000,37,20,42.06,20.96,27.65
11961,6,45000,37,20,42.06,20.96,27.65
11973,6,46000,39,22,44.78,20.96,27.65
11985,6,47000,38,21,43.42,20.96,27.65
11996,6,48000,40,22,45.65,20.96,27.65
12007,6,49000,35,22,41.34,20.96,27.65
12019,6,50000,38,24,44.94,20.96,27.65
12029,6,51000,37,26,45.22,20.96,27.65
12040,6,52000,40,25,47.17,20.96,27.65
12050,6,53000,40,31,50.61,20.96,27.65
12062,6,54000,39,26,46.87,20.96,27.65
12072,6,55000,40,28,48.83,20.96,27.65
12083,6,56000,43,30,52.43,20.96,27.65
12093,6,57000,38,30,48.41,20.96,27.65
12104,6,58000,40,34,52.5,20.96,27.65
12113,6,59000,42,32,52.8,20.96,27.65
12123,6,60000,42,36,55.32,20.96,27.65
12133,6,61000,44,33,55,20.96,27.65
12145,6,62000,43,37,56.73,20.96,27.65
12156,6,63000,42,36,55.32,20.96,27.65
12167,6,64000,45,35,57.01,20.96,27.65
12178,6,65000,44,40,59.46,20.96,27.65
12189,6,66000,43,41,59.41,20.96,27.65
12200,6,67000,44,41,60.14,20.96,27.65
12211,6,68000,44,40,59.46,20.96,27.65
12222,6,69000,44,44,62.23,20.96,27.65
12234,6,70000,45,45,63.64,20.96,27.65
